"pollname","pollnum","ngroups","nindices","homofreq","homoex","polarfreq","polarex"
"UK EU","1","16","4","0.328125","0.0421545719751234","0.209677419354839","0.0194822480908209"
"UK Health","2","15","11","0.481481481481481","0.188072753380606","0.37593984962406","0.188972775739392"
"UK Monarchy","3","15","4","0.566666666666667","-0.036313585457274","0.55","-0.0587974621255722"
"UK General Election","4","15","4","0.65","0.132104526958559","0.383333333333333","0.120511156217389"
"Australia Republic Referendum","5","24","5","0.645833333333333","0.156307946047534","0.468085106382979","0.184927397877073"
"UK Crime","6","20","5","0.52","0.101464364687231","0.43","0.0934154154975063"
"Tomorrow's Europe (EU)","7","18","7","0.738095238095238","0.0658927228422835","0.379032258064516","0.0578806741025315"
"Central Power & Light","8","16","7","0.666666666666667","0.302999040176471","0.59375","0.332646373464615"
"Zeguo Township","9","16","9","0.569444444444444","0.00895555234567747","0.426573426573427","0.00879191153405208"
"Bulgarian National","10","17","5","0.514705882352941","-0.249781505871063","0.368686868686869","-0.263373552740944"
"Europolis","11","25","2","0.56","0.0594188424936111","0.428571428571429","0.0599438764565933"
"New Haven, CT","12","16","3","0.53125","0.2076144557199","0.65625","0.358175260448148"
"National Issues Convention 2","13","24","9","0.694444444444444","-0.0204508585343328","0.69047619047619","-0.0151251543082512"
"By the People: National","14","15","9","0.548148148148148","-0.0158950029766705","0.488549618320611","-0.0102347226758066"
"By the People 2004 US General Election","15","15","6","0.6","0.000997064113044986","0.382022471910112","-0.0218977150757413"
"By the People 2004 US Presidential Primaries","16","16","3","0.479166666666667","0.00891036536796379","0.595744680851064","0.0164386508346919"
"San Mateo, CA","17","26","7","0.663461538461538","-0.0588474208741164","0.465346534653465","-0.0578321391862767"
"By the People: Health and Education","18","30","11","0.53030303030303","-0.0204969122225847","0.426332288401254","-0.0147039867703849"
"West Texas Utilities","19","14","7","0.654761904761905","-0.0774624795475918","0.621951219512195","-0.113154068557644"
"National Issues Convention","20","30","9","0.640740740740741","-0.0732692917154344","0.22962962962963","-0.0874088929783796"
"Southwestern Electric Power","21","14","7","0.666666666666667","-0.123766446255295","0.634146341463415","-0.169857862518812"
