"pollnum","pollname","ngroups","nindices","homofreq","homoex","polarfreq","polarex","polarfreq_se","polarex_se","homofreq_se","homoex_se"
1,"UK EU",16,4,0.328125,-0.060969230468612,0.209677419354839,-0.193734970248846,0.147716369654502,0.0985690464785725,0.173759406468015,0.0496175716079679
2,"UK Health",15,11,0.481481481481481,0.00267021276960039,0.37593984962406,-0.0278135038060127,0.0722110997449734,0.016302514401366,0.05418051430183,0.0108379899099683
3,"UK Monarchy",15,4,0.566666666666667,0.0213214982427488,0.55,0.00292853339770723,0.083333333346514,0.014472141546347,0.117062820106946,0.0174156888352457
4,"UK General Election",15,4,0.65,0.0182136054509316,0.383333333333333,-0.034345648458641,0.161875588412518,0.0319657395300559,0.154859559945292,0.0251380962655728
5,"Australia Republic Referendum",24,5,0.645833333333333,0.0258454304977542,0.468085106382979,-0.110292968703873,0.41575066869691,0.194996131998095,0.0697613925552878,0.00999726692994751
6,"UK Crime",20,5,0.52,-6.75536022110539e-05,0.43,-0.0100869273702585,0.195959180497768,0.0218508630259844,0.093005377719546,0.00794717213909518
7,"Tomorrow's Europe (EU)",18,7,0.738095238095238,0.021943787410902,0.379032258064516,-0.0433189288097581,0.0587111219114912,0.0166217731414397,0.0465036926503244,0.0095524639327977
8,"Central Power & Light",16,7,0.666666666666667,0.0205659983412845,0.59375,0.0225466394632719,0.123691065945552,0.0239607519702631,0.0768295372676454,0.00918549921945164
9,"Zeguo Township",16,9,0.569444444444444,0.0183114141011871,0.426573426573427,-0.00823171022402643,0.0859981858211278,0.0196408223624886,0.088660731737408,0.0113905941583194
10,"Bulgarian National",17,5,0.514705882352941,0.0161525447159814,0.368686868686869,-0.0489220307625597,0.0652066234877299,0.0197231888856421,0.070990018293641,0.0191858321367175
11,"Europolis",25,2,0.56,0.00581462308121044,0.428571428571429,-0.0197309858009138,0.274166535260197,0.0434553760234009,0.0799999968521446,0.0117448042580519
12,"New Haven, CT",16,3,0.53125,-0.00926790688375734,0.65625,0.0299287817659724,0.218750056581992,0.0785620710135261,0.156250001427144,0.0174980495781425
13,"National Issues Convention 2",24,9,0.694444444444444,0.0224577366034438,0.69047619047619,0.021046686061933,0.0844202892865567,0.0231452494622059,0.0559879011558151,0.00521522965756301
14,"By the People: National",15,9,0.548148148148148,0.00659362322849623,0.488549618320611,-0.012042602214522,0.090405324811968,0.0164137147850012,0.0645762807320357,0.00559328490761649
15,"By the People 2004 US General Election",15,6,0.6,0.0146125822582268,0.382022471910112,-0.0247704406905136,0.0517951935802972,0.00750545517875331,0.0644061188082959,0.00487719221034353
16,"By the People 2004 US Presidential Primaries",16,3,0.479166666666667,0.00302613429639607,0.595744680851064,0.00945105159517766,0.0946469214962197,0.0103961874141359,0.0728691587888901,0.00588395611471951
17,"San Mateo, CA",26,7,0.663461538461538,0.0303633424807464,0.465346534653465,-0.0120985865262155,0.0498797691794455,0.0197328348253507,0.0465593186155004,0.011364198459589
18,"By the People: Health and Education",30,11,0.53030303030303,0.00364346633549084,0.426332288401254,-0.0175138094369662,0.0347781345939637,0.00615681463222114,0.0434507850820256,0.00413004758674319
19,"West Texas Utilities",14,7,0.654761904761905,0.0147660774024558,0.621951219512195,0.0124665456613051,0.109439045783006,0.0251418504311575,0.109756486712034,0.0158822601090106
20,"National Issues Convention",30,9,0.640740740740741,0.0219544521758525,0.22962962962963,-0.0533940093132563,0.0256441086392676,0.00883802648970411,0.0520498864951782,0.00676877081920383
21,"Southwestern Electric Power",14,7,0.666666666666667,0.02849523341234,0.634146341463415,0.0367914950533059,0.143789392748861,0.0371119779665591,0.113189184741163,0.0176762176202557
NA,"Mean",18.9047619047619,6.38095238095238,0.583331516820662,0.0107831938976414,0.466861841229018,-0.0229113042556043,0.0143741067807582,0.00316866197119859,0.014951081961716,0.001772192054681
NA,"Weighted Mean (By Indices and Groups)",20.9762093414808,7.56926320904579,0.595039879583837,0.0133476273460029,0.453935286250016,-0.0220946828923819,0.0273271553843788,0.0103001694802217,0.0165705094044409,0.0025686627617037
NA,NA,NA,NA,NA,NA,NA,NA,0.0877080269567093,0.0322415890369436,8.009735874559e-09,1.58299312769117e-07
