"pollname","pollnum","ngroups","nindices","freqdis","extdis","freqgrp","extgrp"
"UK Health",2,15,11,0.476635514018692,0.00135292909971646,0.439252336448598,-0.0126289156315098
"UK General Election",4,15,4,0.625,0.0231712368216522,0.553571428571429,0.0116819261434767
"Australia Republic Referendum",5,24,5,0.695652173913043,0.110219963209094,0.608695652173913,0.0868361786160699
"Central Power & Light",8,16,7,0.6,0.0206564244541827,0.555555555555556,0.00530788623332483
"Bulgarian National",10,17,5,0.5703125,0.0562373486410793,0.5703125,0.0350630179142316
"New Haven, CT",12,16,3,0.541666666666667,0.0471360356591287,0.541666666666667,0.0205150647914936
"National Issues Convention 2",13,24,9,0.536231884057971,0.0213993842200436,0.48792270531401,0.00677416303821639
"By the People: National",14,15,9,0.531746031746032,0.0274391396152002,0.515873015873016,0.013063796099039
"By the People 2004 US General Election",15,15,6,0.533333333333333,0.0131185831995813,0.511111111111111,0.00680096757898721
"By the People 2004 US Presidential Primaries",16,16,3,0.4,-0.0100772526088914,0.466666666666667,-0.0136514792595581
"San Mateo, CA",17,26,7,0.546666666666667,0.0484691357704855,0.466666666666667,0.0110908294422601
"Mean",10.5454545454545,18.0909090909091,6.27272727272727,0.550658615491128,0.0326475389164793,0.519754027731603,0.0155321304514574
"Weighted Mean (By Indices and Groups)",10.6280729579699,19.2854877081681,7.23632038065028,0.551629514479158,0.0333394329051446,0.51054772326361,0.0149081899602998
